material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-2715207,Na8Ca2In2Si3(SO8)3,A2B2C3D3E8F24,1.778,0.10721067462301459,2.9943318185449415,1760.4209848624414,126,6,"Ca,In,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715208,Na7TaAl3Si3(PO8)3,AB3C3D3E7F24,3.0503,0.05407724427337435,3.3696812391361246,1454.6874337969741,123,6,"Al,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715209,Na8La2Mg2Si3(SO8)3,A2B2C3D3E8F24,3.0396,0.12167602003968092,2.934313846619401,1824.6594817423677,126,6,"La,Mg,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715210,Na8HfMg3(PO4)6,AB3C6D8E24,3.7410999999999994,0.001078886071426588,3.199607579736004,1564.9666458809809,126,5,"Hf,Mg,Na,O,P",Trigonal,P3,143,ok,
mp-2715211,Na8ZrZn3Si3(SO8)3,AB3C3D3E8F24,3.0568999999999997,0.11703988477512794,3.110848898935819,1658.708097573229,126,6,"Na,O,S,Si,Zn,Zr",Triclinic,P1,1,ok,
mp-2715212,Na3Mg3In(SO4)6,AB3C3D6E24,3.7157,0.006911701576575169,2.739924132918255,1514.6679393079314,111,5,"In,Mg,Na,O,S",Triclinic,P1,1,ok,
mp-2715213,Na14La4Hf4Si9(SO16)3,A3B4C4D9E14F48,3.7413,0.07931234957723543,3.762064258994931,3586.351357941299,246,6,"Hf,La,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715214,Na4CaAl(PO4)3,ABC3D4E12,4.1093,0.0777657216121046,2.818084368343638,1569.5078617051076,126,5,"Al,Ca,Na,O,P",Trigonal,R3c,161,ok,
mp-2715215,Na3ScZn3(SO4)6,AB3C3D6E24,3.9585999999999997,0.02201617160472491,2.906346856537226,1519.5509894673182,111,5,"Na,O,S,Sc,Zn",Triclinic,P1,1,ok,
mp-2715216,Na8Mg2In2Si3(SO8)3,A2B2C3D3E8F24,2.0305999999999997,0.10300772914682632,3.0923043900657516,1653.8263467959046,126,6,"In,Mg,Na,O,S,Si",Triclinic,P1,1,ok,
mp-2715217,Na6HfZn7(SO4)12,AB6C7D12E48,4.1530000000000005,0.01710537824886682,3.158669862264383,3039.1874008234713,222,5,"Hf,Na,O,S,Zn",Triclinic,P1,1,ok,
mp-2715218,Na6CaNb5Si6(PO12)3,AB3C5D6E6F36,2.5035,0.04803165388961883,3.052727874574016,1610.0572975037028,114,6,"Ca,Na,Nb,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715219,Na12Mg5Nb(PO4)9,AB5C9D12E36,1.869,0.014673018317906461,2.8707481766257703,1556.0469820674555,126,5,"Mg,Na,Nb,O,P",Trigonal,P3c1,158,ok,
mp-2715220,Na4YMg(PO4)3,ABC3D4E12,4.2816,0.019349313809523316,2.9087604401338463,1678.6607235377855,126,5,"Mg,Na,O,P,Y",Trigonal,R3c,161,ok,
mp-2715221,Na6MgTa5Si6(PO12)3,AB3C5D6E6F36,3.1980999999999997,0.02952607334795232,4.031274109903295,1568.895281794081,114,6,"Mg,Na,O,P,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715222,Na3HfNb(SiO4)3,ABC3D3E12,2.9723000000000006,0.014506286208327168,3.790031550878009,1620.957394224459,120,5,"Hf,Na,Nb,O,Si",Monoclinic,Cc,9,ok,
mp-2715223,Na6YNb3(SiO4)6,AB3C6D6E24,2.9127,0.04123096462499909,3.212611207811012,1093.785407712905,80,5,"Na,Nb,O,Si,Y",Triclinic,P1,1,ok,
mp-2715224,Na3YHfSi(PO6)2,ABCD2E3F12,4.2925,0.039310618916664986,3.6489665444872386,1688.4710331441229,120,6,"Hf,Na,O,P,Si,Y",Monoclinic,Cc,9,ok,
mp-2715225,Na3CaTaSi(PO6)2,ABCD2E3F12,2.5908,0.10976071160833278,3.4652343266819297,1096.4490696512216,80,6,"Ca,Na,O,P,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715226,Na3YTiSi(PO6)2,ABCD2E3F12,2.159,0.08675556799444539,2.984461704159968,1085.5663375202307,80,6,"Na,O,P,Si,Ti,Y",Monoclinic,Cc,9,ok,
mp-2715227,Na3ZrInSi(PO6)2,ABCD2E3F12,2.8870000000000005,0.0339684195833323,3.363122488845697,1650.219859658343,120,6,"In,Na,O,P,Si,Zr",Monoclinic,Cc,9,ok,
mp-2715228,Na3Ga2(PO4)3,A2B3C3D12,3.8979999999999997,0.02888613541666718,3.439058752292243,952.8103953117093,80,4,"Ga,Na,O,P",Monoclinic,Cc,9,ok,
mp-2715229,Na3ZnSn(PO4)3,ABC3D3E12,2.3289999999999997,0.04538910177499744,3.4842739484971768,1025.607064598501,80,5,"Na,O,P,Sn,Zn",Monoclinic,Cc,9,ok,
mp-2715230,Na3YSc(PO4)3,ABC3D3E12,4.5289,0.017281505687499532,2.896184607704788,1118.6025708363268,80,5,"Na,O,P,Sc,Y",Triclinic,P1,1,ok,
mp-2715231,Na3HfSi2SnPO12,ABCD2E3F12,3.3857,0.020923204888891433,4.016578587091078,1067.1343737734214,80,6,"Hf,Na,O,P,Si,Sn",Triclinic,P1,1,ok,
mp-2715232,Na3TiZn(PO4)3,ABC3D3E12,1.9983000000000002,0.0525674838799981,3.0913337557664318,1505.6344338826862,120,5,"Na,O,P,Ti,Zn",Monoclinic,Cc,9,ok,
mp-2715233,Na3AlSiGe(PO6)2,ABCD2E3F12,2.9123999999999994,0.0772984395277776,3.225269632496674,1392.007500085572,120,6,"Al,Ge,Na,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715234,Na6Sc3TaSi2(PO6)4,AB2C3D4E6F24,3.5496999999999996,0.03349684610833226,3.190490110882187,1059.4650784344888,80,6,"Na,O,P,Sc,Si,Ta",Triclinic,P1,1,ok,
